epoch,tipo,segundos
70,entrenamiento,900.0
71,entrenamiento,893.0
72,entrenamiento,883.0
73,entrenamiento,884.0
74,entrenamiento,883.0
75,entrenamiento,882.0
76,entrenamiento,881.0
77,entrenamiento,882.0
78,entrenamiento,881.0
79,entrenamiento,882.0
80,entrenamiento,881.0
81,entrenamiento,885.0
82,entrenamiento,882.0
83,entrenamiento,884.0
84,entrenamiento,879.0
85,entrenamiento,884.0
86,entrenamiento,883.0
87,entrenamiento,880.0
88,entrenamiento,883.0
89,entrenamiento,884.0
90,entrenamiento,882.0
91,entrenamiento,890.0
92,entrenamiento,882.0
93,entrenamiento,883.0
94,entrenamiento,881.0
95,entrenamiento,883.0
96,entrenamiento,880.0
97,entrenamiento,883.0
98,entrenamiento,881.0
99,entrenamiento,884.0
100,entrenamiento,880.0
101,entrenamiento,978.0
102,entrenamiento,885.0
103,entrenamiento,884.0
104,entrenamiento,883.0
105,entrenamiento,884.0
106,entrenamiento,883.0
107,entrenamiento,884.0
108,entrenamiento,883.0
109,entrenamiento,881.0
110,entrenamiento,883.0
111,entrenamiento,899.0
112,entrenamiento,884.0
113,entrenamiento,886.0
114,entrenamiento,878.0
115,entrenamiento,878.0
116,entrenamiento,877.0
117,entrenamiento,878.0
118,entrenamiento,873.0
119,entrenamiento,874.0
120,entrenamiento,873.0
121,entrenamiento,885.0
122,entrenamiento,874.0
123,entrenamiento,874.0
124,entrenamiento,877.0
125,entrenamiento,878.0
126,entrenamiento,876.0
127,entrenamiento,877.0
128,entrenamiento,876.0
129,entrenamiento,875.0
130,entrenamiento,879.0
131,entrenamiento,889.0
132,entrenamiento,880.0
133,entrenamiento,884.0
134,entrenamiento,883.0
135,entrenamiento,884.0
136,entrenamiento,883.0
137,entrenamiento,885.0
138,entrenamiento,879.0
139,entrenamiento,882.0
140,entrenamiento,883.0
141,entrenamiento,895.0
142,entrenamiento,884.0
143,entrenamiento,884.0
144,entrenamiento,885.0
145,entrenamiento,880.0
146,entrenamiento,883.0
147,entrenamiento,884.0
148,entrenamiento,879.0
149,entrenamiento,884.0
150,entrenamiento,880.0
151,entrenamiento,925.0
152,entrenamiento,885.0
153,entrenamiento,882.0
154,entrenamiento,883.0
155,entrenamiento,886.0
156,entrenamiento,883.0
157,entrenamiento,884.0
158,entrenamiento,883.0
159,entrenamiento,884.0
160,entrenamiento,879.0
161,entrenamiento,892.0
162,entrenamiento,881.0
163,entrenamiento,884.0
164,entrenamiento,879.0
165,entrenamiento,884.0
166,entrenamiento,883.0
167,entrenamiento,880.0
168,entrenamiento,882.0
169,entrenamiento,884.0
170,entrenamiento,879.0
171,entrenamiento,887.0
172,entrenamiento,884.0
173,entrenamiento,881.0
174,entrenamiento,884.0
175,entrenamiento,881.0
176,entrenamiento,879.0
177,entrenamiento,884.0
178,entrenamiento,880.0
179,entrenamiento,884.0
180,entrenamiento,883.0
181,entrenamiento,896.0
182,entrenamiento,883.0
183,entrenamiento,880.0
184,entrenamiento,883.0
185,entrenamiento,884.0
186,entrenamiento,883.0
187,entrenamiento,880.0
188,entrenamiento,883.0
189,entrenamiento,881.0
190,entrenamiento,883.0
191,entrenamiento,901.0
192,entrenamiento,885.0
193,entrenamiento,880.0
194,entrenamiento,885.0
195,entrenamiento,881.0
196,entrenamiento,879.0
197,entrenamiento,884.0
198,entrenamiento,879.0
199,entrenamiento,884.0
200,entrenamiento,883.0
201,entrenamiento,918.0
202,entrenamiento,884.0
203,entrenamiento,884.0
204,entrenamiento,883.0
205,entrenamiento,881.0
206,entrenamiento,879.0
207,entrenamiento,884.0
208,entrenamiento,880.0
209,entrenamiento,885.0
210,entrenamiento,879.0
211,entrenamiento,893.0
212,entrenamiento,883.0
213,entrenamiento,884.0
214,entrenamiento,882.0
215,entrenamiento,883.0
216,entrenamiento,882.0
217,entrenamiento,883.0
218,entrenamiento,883.0
219,entrenamiento,886.0
220,entrenamiento,885.0
221,entrenamiento,894.0
222,entrenamiento,884.0
223,entrenamiento,883.0
224,entrenamiento,881.0
225,entrenamiento,885.0
226,entrenamiento,881.0
227,entrenamiento,882.0
228,entrenamiento,881.0
229,entrenamiento,883.0
230,entrenamiento,881.0
231,entrenamiento,936.0
232,entrenamiento,883.0
233,entrenamiento,883.0
234,entrenamiento,879.0
235,entrenamiento,884.0
236,entrenamiento,883.0
237,entrenamiento,880.0
238,entrenamiento,883.0
239,entrenamiento,884.0
240,entrenamiento,883.0
241,entrenamiento,900.0
242,entrenamiento,884.0
243,entrenamiento,881.0
244,entrenamiento,883.0
245,entrenamiento,884.0
246,entrenamiento,883.0
247,entrenamiento,884.0
248,entrenamiento,884.0
249,entrenamiento,880.0
250,entrenamiento,883.0
251,entrenamiento,948.0
252,entrenamiento,880.0
253,entrenamiento,883.0
254,entrenamiento,883.0
255,entrenamiento,883.0
256,entrenamiento,882.0
257,entrenamiento,882.0
258,entrenamiento,881.0
259,entrenamiento,884.0
260,entrenamiento,882.0
261,entrenamiento,902.0
262,entrenamiento,883.0
263,entrenamiento,883.0
264,entrenamiento,882.0
265,entrenamiento,889.0
