semilla,conjunto,agente_x,agente_y,bloque_x,bloque_y,bloque_theta
0,entrenamiento,222.0,97.0,222.994,381.599,3.007999
1,entrenamiento,87.0,285.0,158.163,357.18,5.970621
2,entrenamiento,218.0,65.0,178.359,211.548,2.999814
3,entrenamiento,412.0,202.0,323.357,312.979,3.747904
4,entrenamiento,172.0,224.0,290.895,187.416,6.147102
5,entrenamiento,405.0,256.0,295.565,307.518,2.995171
100000,evaluacion,235.0,124.0,299.613,145.202,5.378258
100001,evaluacion,365.0,182.0,234.934,304.513,5.185072
100002,evaluacion,159.0,417.0,302.55,339.638,0.168569
100003,evaluacion,148.0,273.0,256.832,257.614,4.519774
100004,evaluacion,359.0,88.0,273.961,383.116,1.528919
100005,evaluacion,428.0,263.0,402.943,354.275,1.092175
100006,evaluacion,110.0,167.0,429.641,305.94,1.181959
100007,evaluacion,109.0,351.0,253.618,240.553,1.243961
100008,evaluacion,369.0,249.0,247.977,424.246,2.470667
100009,evaluacion,368.0,244.0,412.547,274.656,1.90253
100010,evaluacion,110.0,230.0,246.407,203.219,5.406334
100011,evaluacion,154.0,114.0,175.107,374.144,5.800359
100012,evaluacion,91.0,362.0,174.112,243.812,3.050083
100013,evaluacion,60.0,394.0,369.268,347.081,1.751358
100014,evaluacion,446.0,369.0,412.439,425.964,1.90979
100015,evaluacion,93.0,427.0,207.471,295.504,4.857241
100016,evaluacion,342.0,118.0,307.096,311.374,5.556311
100017,evaluacion,297.0,275.0,258.786,276.161,5.633735
100018,evaluacion,203.0,68.0,206.682,228.343,1.6898
100019,evaluacion,98.0,349.0,180.024,328.478,4.679534
100020,evaluacion,107.0,298.0,355.191,207.302,5.433153
100021,evaluacion,354.0,408.0,233.404,417.416,4.26628
100022,evaluacion,300.0,107.0,215.931,373.271,3.321883
100023,evaluacion,55.0,389.0,434.462,260.335,1.308579
100024,evaluacion,109.0,371.0,350.097,429.256,4.143104
100025,evaluacion,147.0,408.0,275.376,157.021,1.301338
100026,evaluacion,367.0,344.0,435.971,281.377,1.53472
100027,evaluacion,230.0,227.0,377.57,481.569,3.637953
100028,evaluacion,73.0,103.0,133.987,231.229,0.316047
100029,evaluacion,359.0,323.0,325.895,200.256,0.787765
100030,evaluacion,266.0,111.0,106.213,207.697,3.025484
100031,evaluacion,58.0,58.0,148.507,240.741,2.565668
100032,evaluacion,50.0,152.0,257.521,300.126,5.908271
100033,evaluacion,162.0,421.0,346.51,381.37,2.591882
100034,evaluacion,404.0,87.0,85.003,232.45,4.724604
100035,evaluacion,311.0,446.0,65.005,151.692,4.697
100036,evaluacion,176.0,258.0,152.308,436.052,4.094977
100037,evaluacion,198.0,280.0,347.661,390.452,6.028469
100038,evaluacion,366.0,428.0,158.217,452.355,1.757558
100039,evaluacion,375.0,430.0,259.977,382.429,5.187165
100040,evaluacion,371.0,61.0,166.857,229.893,5.387005
100041,evaluacion,386.0,445.0,260.479,113.611,0.54891
100042,evaluacion,91.0,102.0,174.832,154.114,1.484325
100043,evaluacion,200.0,419.0,68.747,273.005,4.201446
100044,evaluacion,86.0,108.0,423.578,133.976,0.604557
100045,evaluacion,303.0,295.0,247.327,324.695,0.801464
100046,evaluacion,325.0,89.0,196.263,252.779,3.989227
100047,evaluacion,215.0,100.0,327.986,202.115,1.595574
100048,evaluacion,378.0,106.0,222.944,191.749,1.520761
100049,evaluacion,143.0,388.0,70.293,339.187,5.436568
