episodio,semilla,particion,transiciones,duracion_s,cobertura_max,cobertura_final,puntuacion,agente_x,agente_y,bloque_x,bloque_y,bloque_theta
0,0,descarte,161,16.1,0.829612,0.829612,0.873276,222.0,97.0,222.994,381.599,3.007999
1,1,descarte,118,11.8,0.8556,0.8556,0.900632,87.0,285.0,158.163,357.18,5.970621
2,2,descarte,141,14.1,0.862682,0.859843,0.908086,218.0,65.0,178.359,211.548,2.999814
3,3,descarte,159,15.9,0.874332,0.874332,0.920349,412.0,202.0,323.357,312.979,3.747904
4,4,descarte,159,15.9,0.863544,0.863544,0.908993,172.0,224.0,290.895,187.416,6.147102
5,5,descarte,157,15.7,0.874899,0.852899,0.920946,405.0,256.0,295.565,307.518,2.995171
6,6,descarte,69,6.9,0.845546,0.845246,0.890048,444.0,251.0,367.233,271.156,2.035226
7,7,entrenamiento,169,16.9,0.853576,0.853576,0.898501,225.0,246.0,135.395,255.783,2.908485
8,8,descarte,80,8.0,0.830888,0.830888,0.874618,390.0,411.0,274.643,263.946,1.182105
9,9,entrenamiento,134,13.4,0.866336,0.866336,0.911932,432.0,398.0,250.907,163.521,0.586549
10,10,entrenamiento,188,18.8,0.87333,0.87333,0.919295,315.0,175.0,72.19,254.132,5.025677
11,11,entrenamiento,149,14.9,0.862865,0.862865,0.908278,241.0,130.0,149.695,396.143,5.120443
12,12,descarte,140,14.0,0.854744,0.854744,0.899731,381.0,205.0,308.173,389.945,4.624604
13,13,entrenamiento,125,12.5,0.864,0.864,0.909474,388.0,226.0,186.42,204.252,2.861972
14,14,descarte,107,10.7,0.833981,0.833981,0.877874,157.0,394.0,363.197,438.743,3.248519
15,15,descarte,153,15.3,0.79707,0.79707,0.839021,295.0,446.0,207.037,337.755,3.756597
16,16,entrenamiento,126,12.6,0.841371,0.841371,0.885654,219.0,288.0,195.831,176.697,5.689625
17,17,descarte,102,10.2,0.826947,0.826947,0.87047,161.0,291.0,274.695,353.056,0.781472
18,18,validacion,86,8.6,0.859687,0.859687,0.904934,348.0,325.0,180.231,313.943,5.199342
19,19,descarte,75,7.5,0.835988,0.835988,0.879987,143.0,160.0,371.291,127.479,0.623938
20,20,entrenamiento,142,14.2,0.866614,0.866614,0.912225,405.0,321.0,309.213,405.836,3.452968
21,21,descarte,115,11.5,0.874951,0.874951,0.921001,257.0,362.0,321.514,216.319,4.167634
22,22,descarte,109,10.9,0.875239,0.875239,0.921304,423.0,182.0,192.671,335.157,2.9477
23,23,descarte,110,11.0,0.843531,0.843531,0.887927,133.0,280.0,114.083,139.213,5.669441
24,24,descarte,98,9.8,0.834733,0.834733,0.878666,437.0,242.0,243.102,318.96,3.183778
25,25,entrenamiento,133,13.3,0.870648,0.870648,0.916471,182.0,368.0,279.992,374.375,0.964975
26,26,entrenamiento,158,15.8,0.885696,0.844616,0.932312,359.0,368.0,333.692,212.019,5.602823
27,27,entrenamiento,112,11.2,0.81989,0.81989,0.863042,69.0,234.0,173.116,369.151,1.210868
28,28,descarte,107,10.7,0.847035,0.847035,0.891616,307.0,55.0,340.936,151.479,5.315397
29,29,descarte,115,11.5,0.821078,0.821078,0.864292,421.0,286.0,178.22,432.659,1.384361
30,30,descarte,84,8.4,0.84192,0.84192,0.886231,343.0,351.0,231.819,351.75,6.100366
31,31,descarte,95,9.5,0.891945,0.891945,0.938889,260.0,137.0,140.407,205.194,0.573254
32,32,entrenamiento,148,14.8,0.90182,0.90182,0.949284,265.0,93.0,148.317,418.22,4.221343
33,33,entrenamiento,120,12.0,0.865615,0.865615,0.911174,70.0,441.0,306.123,167.097,6.061905
34,34,descarte,142,14.2,0.855409,0.855409,0.900431,172.0,411.0,376.027,263.517,2.411057
35,35,entrenamiento,143,14.3,0.851965,0.851965,0.896805,251.0,321.0,94.318,416.993,4.176086
36,36,descarte,142,14.2,0.861293,0.861293,0.906624,183.0,148.0,220.203,376.01,5.148037
37,37,descarte,121,12.1,0.83137,0.83137,0.875126,449.0,413.0,393.06,182.999,1.934284
38,38,descarte,186,18.6,0.858878,0.858878,0.904082,381.0,103.0,314.326,359.157,4.955747
39,39,descarte,99,9.9,0.83834,0.83834,0.882463,443.0,155.0,176.614,236.508,2.228474
40,40,descarte,139,13.9,0.870045,0.870045,0.915837,376.0,269.0,65.745,292.026,5.12327
41,41,descarte,73,7.3,0.835193,0.835193,0.879151,446.0,130.0,298.0,233.851,4.715705
42,42,entrenamiento,136,13.6,0.782061,0.782061,0.823223,152.0,398.0,362.643,206.606,6.118948
43,43,descarte,118,11.8,0.887751,0.887751,0.934475,374.0,370.0,399.556,415.696,1.430238
44,44,entrenamiento,127,12.7,0.865712,0.865712,0.911276,326.0,291.0,309.235,230.684,2.205539
45,45,descarte,152,15.2,0.790024,0.790024,0.831604,181.0,430.0,159.355,275.731,2.488191
46,46,descarte,83,8.3,0.86157,0.86157,0.906916,239.0,375.0,150.551,247.254,0.236667
47,47,descarte,109,10.9,0.854818,0.854818,0.899809,185.0,440.0,379.723,174.836,0.356939
48,48,descarte,138,13.8,0.838249,0.838249,0.882367,50.0,101.0,427.596,377.729,2.152593
49,49,descarte,83,8.3,0.796248,0.796248,0.838155,223.0,232.0,318.516,233.911,5.681165
50,50,entrenamiento,69,6.9,0.867435,0.86267,0.913089,226.0,445.0,253.866,430.533,1.493674
51,51,entrenamiento,73,7.3,0.873287,0.873287,0.919249,107.0,274.0,314.436,119.515,0.397879
52,52,descarte,136,13.6,0.872311,0.872311,0.918222,206.0,317.0,68.818,304.54,4.521441
53,53,descarte,173,17.3,0.78238,0.78238,0.823558,75.0,335.0,339.654,377.546,3.396466
54,54,descarte,205,20.5,0.866541,0.866541,0.912148,161.0,375.0,328.506,153.192,5.047707
55,55,descarte,106,10.6,0.848247,0.848247,0.892891,204.0,345.0,172.752,171.476,1.334737
56,56,entrenamiento,105,10.5,0.804208,0.804208,0.846534,391.0,449.0,279.803,336.684,6.008711
57,57,descarte,83,8.3,0.89055,0.89055,0.937421,264.0,55.0,211.704,234.089,0.813578
58,58,entrenamiento,118,11.8,0.874064,0.874064,0.920068,341.0,82.0,337.135,186.502,4.336926
59,59,descarte,122,12.2,0.856653,0.856653,0.90174,227.0,255.0,215.758,379.982,4.041318
60,60,entrenamiento,60,6.0,0.825967,0.825967,0.869439,255.0,115.0,214.914,246.785,1.632729
61,61,entrenamiento,150,15.0,0.799891,0.799891,0.841991,149.0,68.0,85.929,286.522,5.551348
62,62,descarte,67,6.7,0.848555,0.848555,0.893216,68.0,74.0,224.438,271.752,1.835024
63,63,entrenamiento,140,14.0,0.822476,0.822476,0.865764,94.0,166.0,228.963,403.866,3.36654
64,64,descarte,103,10.3,0.819174,0.819174,0.862288,169.0,216.0,156.609,274.924,3.083581
65,65,entrenamiento,166,16.6,0.869524,0.869524,0.915288,352.0,167.0,124.076,463.581,4.186707
66,66,descarte,67,6.7,0.854469,0.853583,0.899441,70.0,366.0,196.243,157.178,5.752975
67,67,entrenamiento,104,10.4,0.824663,0.824663,0.868067,373.0,359.0,281.16,191.883,3.623103
68,68,descarte,90,9.0,0.847988,0.847988,0.892619,369.0,252.0,292.054,375.318,4.929239
69,69,descarte,150,15.0,0.86405,0.86405,0.909526,104.0,253.0,169.416,259.748,4.130086
70,70,descarte,186,18.6,0.879191,0.879191,0.925464,384.0,264.0,250.239,451.678,2.205382
71,71,entrenamiento,134,13.4,0.839057,0.839057,0.883218,157.0,61.0,114.839,205.299,4.244394
72,72,descarte,148,14.8,0.808511,0.808511,0.851065,325.0,96.0,216.306,382.335,1.918548
73,73,entrenamiento,112,11.2,0.841443,0.841443,0.885729,196.0,444.0,357.524,268.392,5.95567
74,74,descarte,118,11.8,0.859003,0.859003,0.904213,397.0,187.0,338.765,301.47,2.145735
75,75,descarte,98,9.8,0.860719,0.860719,0.90602,298.0,418.0,153.283,310.149,2.275432
76,76,entrenamiento,89,8.9,0.863598,0.863598,0.90905,211.0,441.0,417.904,214.128,2.21785
77,77,entrenamiento,122,12.2,0.822878,0.822878,0.866188,265.0,145.0,228.561,386.271,1.710603
78,78,entrenamiento,176,17.6,0.870445,0.870445,0.916257,247.0,90.0,171.187,358.693,3.991771
79,79,descarte,70,7.0,0.864369,0.864369,0.909862,393.0,239.0,218.505,286.342,1.422303
80,80,descarte,117,11.7,0.870509,0.870509,0.916325,225.0,238.0,284.083,118.938,5.641981
81,81,entrenamiento,113,11.3,0.832832,0.832832,0.876665,373.0,243.0,172.192,366.912,3.204043
82,82,descarte,94,9.4,0.855679,0.855679,0.900714,181.0,181.0,144.131,211.959,0.296118
83,83,descarte,139,13.9,0.874781,0.874781,0.920822,132.0,73.0,439.915,398.241,1.509436
84,84,entrenamiento,80,8.0,0.856321,0.856321,0.901391,291.0,395.0,294.087,210.606,6.015248
85,85,entrenamiento,111,11.1,0.859757,0.859757,0.905007,412.0,210.0,276.211,155.585,5.827867
86,86,entrenamiento,104,10.4,0.833867,0.833867,0.877754,198.0,402.0,344.793,221.914,5.225393
87,87,descarte,115,11.5,0.838101,0.838101,0.882211,383.0,237.0,237.629,351.322,6.163546
88,88,descarte,81,8.1,0.819184,0.819184,0.862299,338.0,412.0,182.221,247.894,3.572078
89,89,entrenamiento,138,13.8,0.831602,0.831602,0.87537,336.0,182.0,87.024,472.314,4.031858
90,90,validacion,109,10.9,0.840296,0.840296,0.884522,397.0,207.0,189.555,266.219,5.708909
91,91,entrenamiento,101,10.1,0.831487,0.831487,0.87525,228.0,224.0,354.551,254.655,1.429335
92,92,descarte,78,7.8,0.828297,0.828297,0.871892,172.0,92.0,147.021,308.608,0.700898
