brazo,condicion,realizacion,semilla_base,semilla,puntuacion
V0,a,prueba,20260827,200000,1.0
V0,a,prueba,20260827,200001,1.0
V0,a,prueba,20260827,200002,0.97876846921193
V0,a,prueba,20260827,200003,1.0
V0,a,prueba,20260827,200004,0.997714071853962
V0,a,prueba,20260827,200005,0.964258442396833
V0,a,prueba,20260827,200006,0.446225299858375
V0,a,prueba,20260827,200007,0.700186699987899
V0,a,prueba,20260827,200008,1.0
V0,a,prueba,20260827,200009,1.0
V0,a,prueba,20260827,200010,0.689001191826382
V0,a,prueba,20260827,200011,0.964305222801648
V0,a,prueba,20260827,200012,0.563350439426173
V0,a,prueba,20260827,200013,0.969959961741917
V0,a,prueba,20260827,200014,0.979271945212762
V0,a,prueba,20260827,200015,1.0
V0,a,prueba,20260827,200016,0.726237019658619
V0,a,prueba,20260827,200017,0.797256591743864
V0,a,prueba,20260827,200018,0.975601687827618
V0,a,prueba,20260827,200019,0.952559274434499
V0,a,prueba,20260827,200020,0.97631090577523
V0,a,prueba,20260827,200021,0.987335687367527
V0,a,prueba,20260827,200022,0.997828316963694
V0,a,prueba,20260827,200023,0.982399004317568
V0,a,prueba,20260827,200024,1.0
V0,a,prueba,20260827,200025,0.957277402201
V0,a,prueba,20260827,200026,1.0
V0,a,prueba,20260827,200027,1.0
V0,a,prueba,20260827,200028,0.358206075552459
V0,a,prueba,20260827,200029,1.0
V0,a,prueba,20260827,200030,0.994354934792607
V0,a,prueba,20260827,200031,0.583377717922359
V0,a,prueba,20260827,200032,0.72712881255365
V0,a,prueba,20260827,200033,0.993061218178289
V0,a,prueba,20260827,200034,0.610989268011909
V0,a,prueba,20260827,200035,0.961500169263737
V0,a,prueba,20260827,200036,1.0
V0,a,prueba,20260827,200037,0.971427480319092
V0,a,prueba,20260827,200038,1.0
V0,a,prueba,20260827,200039,0.985645855332
V0,a,prueba,20260827,200040,1.0
V0,a,prueba,20260827,200041,1.0
V0,a,prueba,20260827,200042,0.988521452521969
V0,a,prueba,20260827,200043,0.923403670703183
V0,a,prueba,20260827,200044,1.0
V0,a,prueba,20260827,200045,0.58196231299683
V0,a,prueba,20260827,200046,1.0
V0,a,prueba,20260827,200047,0.994232239570031
V0,a,prueba,20260827,200048,0.716687621271048
V0,a,prueba,20260827,200049,0.00392250381114464
V0,a,ruido_b,20260831,200000,1.0
V0,a,ruido_b,20260831,200001,0.999827640420744
V0,a,ruido_b,20260831,200002,0.700329269295221
V0,a,ruido_b,20260831,200003,0.953258032913307
V0,a,ruido_b,20260831,200004,1.0
V0,a,ruido_b,20260831,200005,0.514333214533905
V0,a,ruido_b,20260831,200006,0.346778609750889
V0,a,ruido_b,20260831,200007,1.0
V0,a,ruido_b,20260831,200008,1.0
V0,a,ruido_b,20260831,200009,1.0
V0,a,ruido_b,20260831,200010,0.712738886375137
V0,a,ruido_b,20260831,200011,1.0
V0,a,ruido_b,20260831,200012,0.719662496473472
V0,a,ruido_b,20260831,200013,1.0
V0,a,ruido_b,20260831,200014,1.0
V0,a,ruido_b,20260831,200015,1.0
V0,a,ruido_b,20260831,200016,0.972548808580274
V0,a,ruido_b,20260831,200017,0.0
V0,a,ruido_b,20260831,200018,1.0
V0,a,ruido_b,20260831,200019,1.0
V0,a,ruido_b,20260831,200020,1.0
V0,a,ruido_b,20260831,200021,1.0
V0,a,ruido_b,20260831,200022,1.0
V0,a,ruido_b,20260831,200023,1.0
V0,a,ruido_b,20260831,200024,1.0
V0,a,ruido_b,20260831,200025,0.975912800392038
V0,a,ruido_b,20260831,200026,0.88104496946805
V0,a,ruido_b,20260831,200027,0.994758428170508
V0,a,ruido_b,20260831,200028,0.35658609037079
V0,a,ruido_b,20260831,200029,0.989832121431952
V0,a,ruido_b,20260831,200030,0.641137282257206
V0,a,ruido_b,20260831,200031,1.0
V0,a,ruido_b,20260831,200032,0.70563299420131
V0,a,ruido_b,20260831,200033,1.0
V0,a,ruido_b,20260831,200034,0.715633111669656
V0,a,ruido_b,20260831,200035,0.958789840886492
V0,a,ruido_b,20260831,200036,0.983313100225018
V0,a,ruido_b,20260831,200037,1.0
V0,a,ruido_b,20260831,200038,0.278084450987936
V0,a,ruido_b,20260831,200039,1.0
V0,a,ruido_b,20260831,200040,0.997448600498522
V0,a,ruido_b,20260831,200041,1.0
V0,a,ruido_b,20260831,200042,1.0
V0,a,ruido_b,20260831,200043,1.0
V0,a,ruido_b,20260831,200044,0.888993939634941
V0,a,ruido_b,20260831,200045,0.973563917960587
V0,a,ruido_b,20260831,200046,0.919838199447319
V0,a,ruido_b,20260831,200047,0.928561786145988
V0,a,ruido_b,20260831,200048,0.997972605833352
V0,a,ruido_b,20260831,200049,0.00392250381114464
V0,b,prueba,20260827,200000,1.0
V0,b,prueba,20260827,200001,1.0
V0,b,prueba,20260827,200002,0.975067152132209
V0,b,prueba,20260827,200003,1.0
V0,b,prueba,20260827,200004,0.997575960607123
V0,b,prueba,20260827,200005,0.721273338582729
V0,b,prueba,20260827,200006,0.694388058019565
V0,b,prueba,20260827,200007,0.700186699987899
V0,b,prueba,20260827,200008,0.999822683645056
V0,b,prueba,20260827,200009,0.965290405700892
V0,b,prueba,20260827,200010,0.719506832677404
V0,b,prueba,20260827,200011,0.429167906765662
V0,b,prueba,20260827,200012,0.919166071144024
V0,b,prueba,20260827,200013,1.0
V0,b,prueba,20260827,200014,0.952032457783806
V0,b,prueba,20260827,200015,1.0
V0,b,prueba,20260827,200016,0.95503960996839
V0,b,prueba,20260827,200017,0.0
V0,b,prueba,20260827,200018,0.949244041615629
V0,b,prueba,20260827,200019,1.0
V0,b,prueba,20260827,200020,0.944373095057261
V0,b,prueba,20260827,200021,1.0
V0,b,prueba,20260827,200022,1.0
V0,b,prueba,20260827,200023,0.999402876398094
V0,b,prueba,20260827,200024,0.979275765953004
V0,b,prueba,20260827,200025,0.995967955409772
V0,b,prueba,20260827,200026,1.0
V0,b,prueba,20260827,200027,0.983823234578182
V0,b,prueba,20260827,200028,0.411516488891845
V0,b,prueba,20260827,200029,0.99478453671464
V0,b,prueba,20260827,200030,0.97119663297331
V0,b,prueba,20260827,200031,0.392075270648311
V0,b,prueba,20260827,200032,0.960735300469773
V0,b,prueba,20260827,200033,1.0
V0,b,prueba,20260827,200034,0.720741772178581
V0,b,prueba,20260827,200035,0.970186878794278
V0,b,prueba,20260827,200036,0.969600105449793
V0,b,prueba,20260827,200037,1.0
V0,b,prueba,20260827,200038,0.237686686816823
V0,b,prueba,20260827,200039,0.973562272857336
V0,b,prueba,20260827,200040,1.0
V0,b,prueba,20260827,200041,0.986385889091539
V0,b,prueba,20260827,200042,1.0
V0,b,prueba,20260827,200043,0.933617805889998
V0,b,prueba,20260827,200044,1.0
V0,b,prueba,20260827,200045,0.425610303409408
V0,b,prueba,20260827,200046,1.0
V0,b,prueba,20260827,200047,1.0
V0,b,prueba,20260827,200048,0.610112582449276
V0,b,prueba,20260827,200049,0.00392250381114464
V0,b,ruido_b,20260831,200000,1.0
V0,b,ruido_b,20260831,200001,1.0
V0,b,ruido_b,20260831,200002,0.678781503868782
V0,b,ruido_b,20260831,200003,1.0
V0,b,ruido_b,20260831,200004,0.792254450631623
V0,b,ruido_b,20260831,200005,0.692946309736835
V0,b,ruido_b,20260831,200006,0.397185908347942
V0,b,ruido_b,20260831,200007,0.700186699987899
V0,b,ruido_b,20260831,200008,1.0
V0,b,ruido_b,20260831,200009,1.0
V0,b,ruido_b,20260831,200010,0.705320285833067
V0,b,ruido_b,20260831,200011,1.0
V0,b,ruido_b,20260831,200012,0.603825518360545
V0,b,ruido_b,20260831,200013,0.981031269951177
V0,b,ruido_b,20260831,200014,1.0
V0,b,ruido_b,20260831,200015,1.0
V0,b,ruido_b,20260831,200016,0.978127224666456
V0,b,ruido_b,20260831,200017,1.0
V0,b,ruido_b,20260831,200018,0.996315191529649
V0,b,ruido_b,20260831,200019,0.927222619399175
V0,b,ruido_b,20260831,200020,0.920245708674566
V0,b,ruido_b,20260831,200021,0.539795239371152
V0,b,ruido_b,20260831,200022,1.0
