variante,codificador,punto_control,magnitud,lote,px_entrada,px_codificador,pasos_difusion,n_obs_steps,n_action_steps,lote_entrenamiento,mediana_ms,q1_ms,q3_ms,iqr_ms,p5_ms,p95_ms,n_repeticiones,n_calentamiento,n_rondas,entorno,torch,cuda,gpu,controlador,python,precision,cudnn_benchmark
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,llamada,1,96,76,100,2,8,64,1743.895,1684.96,1767.537,82.578,1383.369,1816.851,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,codificador,1,96,76,100,2,8,64,3.001,2.751,3.215,0.464,2.46,5.445,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,por_accion,1,96,76,100,2,8,64,217.987,210.62,220.942,10.322,172.921,227.106,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,llamada,8,96,76,100,2,8,64,2080.82,2065.973,2094.09,28.117,2052.212,2104.851,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,codificador,8,96,76,100,2,8,64,3.067,3.038,3.189,0.151,3.002,4.902,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,por_accion,8,96,76,100,2,8,64,260.102,258.247,261.761,3.515,256.526,263.106,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,llamada,1,96,224,100,2,8,64,1727.081,1699.589,1767.336,67.747,1489.353,1790.192,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,codificador,1,96,224,100,2,8,64,2.716,2.643,2.827,0.184,2.416,3.405,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,por_accion,1,96,224,100,2,8,64,215.885,212.449,220.917,8.468,186.169,223.774,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,llamada,8,96,224,100,2,8,64,2094.593,2072.046,2109.49,37.444,2049.829,2147.664,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,codificador,8,96,224,100,2,8,64,10.451,10.297,10.554,0.258,10.124,10.788,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,por_accion,8,96,224,100,2,8,64,261.824,259.006,263.686,4.681,256.229,268.458,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,llamada,1,96,224,100,2,8,64,1723.82,1684.164,1747.78,63.616,1552.067,1800.799,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,codificador,1,96,224,100,2,8,64,2.828,2.787,2.919,0.132,2.574,4.146,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,por_accion,1,96,224,100,2,8,64,215.478,210.52,218.472,7.952,194.008,225.1,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,llamada,8,96,224,100,2,8,64,2096.156,2072.439,2112.038,39.599,2061.194,2135.864,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,codificador,8,96,224,100,2,8,64,10.627,10.549,10.775,0.226,10.425,10.926,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,por_accion,8,96,224,100,2,8,64,262.02,259.055,264.005,4.95,257.649,266.983,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,llamada,1,96,224,100,2,8,32,1731.876,1708.853,1766.204,57.351,1621.496,1803.764,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,codificador,1,96,224,100,2,8,32,8.377,8.166,8.591,0.425,7.768,8.869,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,por_accion,1,96,224,100,2,8,32,216.484,213.607,220.776,7.169,202.687,225.471,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,llamada,8,96,224,100,2,8,32,2168.254,2145.806,2184.2,38.394,2111.53,2224.316,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,codificador,8,96,224,100,2,8,32,44.13,42.514,45.736,3.222,40.92,47.757,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,por_accion,8,96,224,100,2,8,32,271.032,268.226,273.025,4.799,263.941,278.04,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,llamada,1,96,224,100,2,8,32,1749.102,1719.155,1796.098,76.943,1675.969,1876.402,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,codificador,1,96,224,100,2,8,32,16.1,15.555,16.435,0.88,15.138,17.206,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,por_accion,1,96,224,100,2,8,32,218.638,214.894,224.512,9.618,209.496,234.55,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,llamada,8,96,224,100,2,8,32,2253.863,2234.909,2273.88,38.971,2213.127,2300.749,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,codificador,8,96,224,100,2,8,32,131.81,125.679,137.294,11.615,117.3,147.051,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,por_accion,8,96,224,100,2,8,32,281.733,279.364,284.235,4.871,276.641,287.594,50,20,10,.venv_diffuser_infer (Windows),2.6.0+cu124,12.4,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,3.11.9,float32,False
