variante,codificador,punto_control,modo,lote,acumulacion_gradiente,lote_efectivo,px_codificador,pasos_difusion,codificador_congelado,pico_reservado_gb,pico_asignado_gb,capacidad_gb,ocupacion_pct,n_pasos,entorno,torch,cuda,gpu,controlador,precision
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,entrenamiento,64,1,64,76,100,False,6.447,6.25,8.0,80.6,12,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,inferencia,1,,,76,100,False,1.348,1.189,8.0,16.9,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V0,ResNet-18 desde cero,epoch=0350-test_mean_score=0.865.ckpt,inferencia,8,,,76,100,False,1.307,1.176,8.0,16.3,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,entrenamiento,64,1,64,224,100,True,6.896,6.566,8.0,86.2,12,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,inferencia,1,,,224,100,True,1.355,1.189,8.0,16.9,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V1,ResNet-18 congelada,epoch=0150-test_mean_score=0.668.ckpt,inferencia,8,,,224,100,True,1.395,1.203,8.0,17.4,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,entrenamiento,64,1,64,224,100,False,10.293,8.575,8.0,128.7,12,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,inferencia,1,,,224,100,False,1.355,1.189,8.0,16.9,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V2,ResNet-18 con ajuste fino,epoch=0150-test_mean_score=0.648.ckpt,inferencia,8,,,224,100,False,1.375,1.194,8.0,17.2,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,entrenamiento,32,2,64,224,100,True,6.252,5.965,8.0,78.2,12,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,inferencia,1,,,224,100,True,1.385,1.229,8.0,17.3,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V3,DINOv2 ViT-S/14 congelada,epoch=0100-test_mean_score=0.622.ckpt,inferencia,8,,,224,100,True,1.461,1.234,8.0,18.3,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,entrenamiento,32,2,64,224,100,True,7.223,6.563,8.0,90.3,12,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,inferencia,1,,,224,100,True,1.646,1.47,8.0,20.6,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
V4,CLIP ViT-B/16 congelada,epoch=0100-test_mean_score=0.535.ckpt,inferencia,8,,,224,100,True,1.807,1.506,8.0,22.6,1,robodiff (WSL2 Ubuntu 24.04),1.12.1,11.6,NVIDIA GeForce RTX 3070 Ti Laptop GPU,596.21,float32
