comparacion,diferencia_medias,error_estandar,ic95_bca_inf,ic95_bca_sup,pares_no_nulos,metodo_wilcoxon,W,p,p_holm
V0-V1,0.223215,0.027832,0.169817,0.278811,173,aproximado con correccion de continuidad,2698.0,2.5364771300466734e-13,1.7755339910326714e-12
V0-V2,0.286273,0.02975,0.228471,0.345626,176,aproximado con correccion de continuidad,1854.0,1.8530668252424547e-18,1.6677601427182092e-17
V0-V3,0.293675,0.030333,0.234362,0.353434,174,aproximado con correccion de continuidad,1986.0,2.79140380403759e-17,2.233123043230072e-16
V0-V4,0.381696,0.032366,0.3177,0.443659,184,aproximado con correccion de continuidad,1653.0,2.569060141247592e-21,2.569060141247592e-20
V1-V2,0.063058,0.03152,0.000728,0.124294,173,aproximado con correccion de continuidad,6312.5,0.06607483384844834,0.13214966769689668
V1-V3,0.07046,0.031774,0.006467,0.131728,177,aproximado con correccion de continuidad,6245.0,0.016885757552923052,0.05172608318531101
V1-V4,0.158481,0.034074,0.0917,0.224469,185,aproximado con correccion de continuidad,5302.0,6.047129218574448e-06,3.628277531144669e-05
V2-V3,0.007402,0.030733,-0.051572,0.065814,175,aproximado con correccion de continuidad,7426.5,0.6841834608979661,0.6841834608979661
V2-V4,0.095424,0.034481,0.027192,0.160999,174,aproximado con correccion de continuidad,5958.0,0.012931520796327752,0.05172608318531101
V3-V4,0.088021,0.034122,0.021402,0.15403,172,aproximado con correccion de continuidad,5759.5,0.010251994492864507,0.05125997246432253
