comparacion,diferencia_medias,error_estandar,pares_no_nulos,p_permutacion,W,p_wilcoxon,p_perm_holm,p_wilcoxon_holm
V0-V1,0.223215,0.027832,173,9.999000099990002e-05,2698.0,2.5364771300466734e-13,0.000999900009999,1.7755339910326714e-12
V0-V2,0.286273,0.02975,176,9.999000099990002e-05,1854.0,1.8530668252424547e-18,0.000999900009999,1.6677601427182092e-17
V0-V3,0.293675,0.030333,174,9.999000099990002e-05,1986.0,2.79140380403759e-17,0.000999900009999,2.233123043230072e-16
V0-V4,0.381696,0.032366,184,9.999000099990002e-05,1653.0,2.569060141247592e-21,0.000999900009999,2.569060141247592e-20
V1-V2,0.063058,0.03152,173,0.044795520447955206,6312.5,0.06607483384844834,0.09299070092990701,0.13214966769689668
V1-V3,0.07046,0.031774,177,0.030996900309969003,6245.0,0.016885757552923052,0.09299070092990701,0.05172608318531101
V1-V4,0.158481,0.034074,185,9.999000099990002e-05,5302.0,6.047129218574448e-06,0.000999900009999,3.628277531144669e-05
V2-V3,0.007402,0.030733,175,0.8025197480251974,7426.5,0.6841834608979661,0.8025197480251974,0.6841834608979661
V2-V4,0.095424,0.034481,174,0.008099190080991902,5958.0,0.012931520796327752,0.040495950404959506,0.05172608318531101
V3-V4,0.088021,0.034122,172,0.0091990800919908,5759.5,0.010251994492864507,0.040495950404959506,0.05125997246432253
