comparacion,diferencia_medias,error_estandar,ic95_bca_inf,ic95_bca_sup,pares_no_nulos,p_permutacion,W,p_wilcoxon,p_perm_holm,p_wilcoxon_holm
V0-V1,0.244534,0.023836,0.198183,0.292283,196,9.999000099990002e-05,2552.0,4.27127912117679e-19,0.000999900009999,2.989895384823753e-18
V0-V2,0.315945,0.026518,0.264166,0.368821,198,9.999000099990002e-05,1620.0,2.1055265103199115e-24,0.000999900009999,1.8949738592879203e-23
V0-V3,0.307134,0.025677,0.257154,0.358757,196,9.999000099990002e-05,1772.0,3.739099604994745e-23,0.000999900009999,2.991279683995796e-22
V0-V4,0.396614,0.028147,0.341048,0.452459,198,9.999000099990002e-05,1356.0,6.885777986134296e-26,0.000999900009999,6.885777986134296e-25
V1-V2,0.071411,0.026004,0.0227,0.123553,185,0.0058994100589941,6962.0,0.02453532828070473,0.0235976402359764,0.09814131312281892
V1-V3,0.062601,0.027369,0.009926,0.116625,189,0.021997800219978002,7351.0,0.03083234739662025,0.043995600439956005,0.09814131312281892
V1-V4,0.15208,0.028732,0.094455,0.205831,188,9.999000099990002e-05,5203.0,8.432273244891385e-07,0.000999900009999,5.059363946934831e-06
V2-V3,-0.00881,0.026657,-0.060209,0.042257,190,0.7494250574942506,8752.0,0.6733176972382338,0.7494250574942506,0.6733176972382338
V2-V4,0.080669,0.030495,0.01967,0.138876,183,0.009599040095990401,6892.5,0.03356637895167678,0.028797120287971205,0.09814131312281892
V3-V4,0.089479,0.028502,0.034059,0.145843,181,0.0017998200179982,6222.0,0.00434705649919399,0.008999100089991,0.02173528249596995
