variante,semilla,puntuacion
V0,200000,1.0
V0,200001,1.0
V0,200002,0.7242771604179735
V0,200003,0.9855084193116445
V0,200004,1.0
V0,200005,0.6841482798688275
V0,200006,1.0
V0,200007,1.0
V0,200008,1.0
V0,200009,1.0
V0,200010,0.6193611082810292
V0,200011,1.0
V0,200012,0.7101476643574124
V0,200013,0.9754419410519796
V0,200014,0.7191753768432441
V0,200015,0.9807759397341292
V0,200016,0.8728387125146315
V0,200017,1.0
V0,200018,0.9526694858133886
V0,200019,1.0
V0,200020,1.0
V0,200021,1.0
V0,200022,1.0
V0,200023,1.0
V0,200024,1.0
V0,200025,1.0
V0,200026,1.0
V0,200027,1.0
V0,200028,0.36251863716060706
V0,200029,1.0
V0,200030,1.0
V0,200031,0.7251744290914978
V0,200032,0.7067956596767595
V0,200033,1.0
V0,200034,0.4604961343729603
V0,200035,0.9576229133180508
V0,200036,0.6530265361364835
V0,200037,1.0
V0,200038,0.5253886622960348
V0,200039,0.9804277995746861
V0,200040,1.0
V0,200041,0.5759722062487291
V0,200042,0.9973046586552772
V0,200043,0.9836621419226237
V0,200044,1.0
V0,200045,0.6704575844609416
V0,200046,0.9742401749987777
V0,200047,1.0
V0,200048,1.0
V0,200049,0.5037491876707173
V0,200050,1.0
V0,200051,1.0
V0,200052,1.0
V0,200053,0.6312748566308805
V0,200054,0.7038887256846161
V0,200055,0.9673607063543942
V0,200056,0.7132515171419161
V0,200057,1.0
V0,200058,0.9896924254443052
V0,200059,0.9979197921931757
V0,200060,0.9700904633141386
V0,200061,0.5723486812742373
V0,200062,1.0
V0,200063,0.0
V0,200064,1.0
V0,200065,1.0
V0,200066,1.0
V0,200067,0.44884911924920795
V0,200068,1.0
V0,200069,0.5546754953133923
V0,200070,0.9944375689561604
V0,200071,1.0
V0,200072,1.0
V0,200073,1.0
V0,200074,0.1810717205242553
V0,200075,0.5194966123344994
V0,200076,0.9956933582386286
V0,200077,1.0
V0,200078,0.9698582826378104
V0,200079,1.0
V0,200080,0.48773818881331876
V0,200081,0.980878885675531
V0,200082,0.9851529837412056
V0,200083,1.0
V0,200084,1.0
V0,200085,1.0
V0,200086,0.5498367756087981
V0,200087,1.0
V0,200088,1.0
V0,200089,1.0
V0,200090,1.0
V0,200091,1.0
V0,200092,0.7129552975531689
V0,200093,0.9803224758894166
V0,200094,0.986394022860965
V0,200095,0.0
V0,200096,0.9961162275614311
V0,200097,1.0
V0,200098,0.9915120354132098
V0,200099,0.9981179035896701
V0,200100,1.0
V0,200101,0.0
V0,200102,1.0
V0,200103,0.037625315787774664
V0,200104,0.20508545430191039
V0,200105,1.0
V0,200106,0.9880259611283122
V0,200107,0.9677935051534182
V0,200108,0.9714212423838521
V0,200109,0.9958540668405962
V0,200110,0.9574278926865719
V0,200111,0.5332052575819968
V0,200112,0.9622096649549
V0,200113,1.0
V0,200114,1.0
V0,200115,1.0
V0,200116,0.9693429846283386
V0,200117,0.46041321702039345
V0,200118,1.0
V0,200119,1.0
V0,200120,0.9981163615742683
V0,200121,1.0
V0,200122,1.0
V0,200123,0.7269426233142626
V0,200124,1.0
V0,200125,1.0
V0,200126,0.6986339956343721
V0,200127,0.9906259454246277
V0,200128,0.8845231739111459
V0,200129,1.0
V0,200130,0.9786476149006125
V0,200131,1.0
V0,200132,0.9949848462755542
V0,200133,0.9998416809149927
V0,200134,1.0
V0,200135,1.0
V0,200136,1.0
V0,200137,1.0
V0,200138,1.0
V0,200139,0.926965138411266
V0,200140,1.0
V0,200141,1.0
V0,200142,0.530913913401504
V0,200143,0.7272572187412087
V0,200144,0.0
V0,200145,0.941397845310557
V0,200146,0.9782449029109975
V0,200147,0.7247237250062201
V0,200148,1.0
V0,200149,0.723612020465921
V0,200150,1.0
V0,200151,1.0
V0,200152,0.7129016026686286
V0,200153,0.9883347666994854
V0,200154,1.0
V0,200155,0.7821113113246445
V0,200156,0.938292166530052
V0,200157,1.0
V0,200158,0.9469452091109961
V0,200159,1.0
V0,200160,0.9821918401083319
V0,200161,1.0
V0,200162,1.0
V0,200163,0.9760952577073629
V0,200164,0.9992839404440395
V0,200165,0.0
V0,200166,1.0
V0,200167,0.6860073837371483
V0,200168,1.0
V0,200169,1.0
V0,200170,1.0
V0,200171,1.0
V0,200172,0.9937414760944364
V0,200173,0.9922982613604331
V0,200174,1.0
V0,200175,1.0
V0,200176,0.9745428248456398
V0,200177,1.0
V0,200178,1.0
V0,200179,1.0
V0,200180,1.0
V0,200181,1.0
V0,200182,0.9902701303823517
V0,200183,1.0
V0,200184,0.9909162201032563
V0,200185,1.0
V0,200186,1.0
V0,200187,0.9700243669829577
V0,200188,1.0
V0,200189,0.6349289517035968
V0,200190,1.0
V0,200191,1.0
V0,200192,0.0
V0,200193,0.3470451471708019
V0,200194,1.0
V0,200195,0.0
V0,200196,0.45420222917867725
V0,200197,1.0
