variante,realizacion,semilla_base,semilla,puntuacion
V0,A,20260827,200000,1.0
V0,A,20260827,200001,1.0
V0,A,20260827,200002,0.7242771604179735
V0,A,20260827,200003,0.9855084193116445
V0,A,20260827,200004,1.0
V0,A,20260827,200005,0.6841482798688275
V0,A,20260827,200006,1.0
V0,A,20260827,200007,1.0
V0,A,20260827,200008,1.0
V0,A,20260827,200009,1.0
V0,A,20260827,200010,0.6193611082810292
V0,A,20260827,200011,1.0
V0,A,20260827,200012,0.7101476643574124
V0,A,20260827,200013,0.9754419410519796
V0,A,20260827,200014,0.7191753768432441
V0,A,20260827,200015,0.9807759397341292
V0,A,20260827,200016,0.8728387125146315
V0,A,20260827,200017,1.0
V0,A,20260827,200018,0.9526694858133886
V0,A,20260827,200019,1.0
V0,A,20260827,200020,1.0
V0,A,20260827,200021,1.0
V0,A,20260827,200022,1.0
V0,A,20260827,200023,1.0
V0,A,20260827,200024,1.0
V0,A,20260827,200025,1.0
V0,A,20260827,200026,1.0
V0,A,20260827,200027,1.0
V0,A,20260827,200028,0.36251863716060706
V0,A,20260827,200029,1.0
V0,A,20260827,200030,1.0
V0,A,20260827,200031,0.7251744290914978
V0,A,20260827,200032,0.7067956596767595
V0,A,20260827,200033,1.0
V0,A,20260827,200034,0.4604961343729603
V0,A,20260827,200035,0.9576229133180508
V0,A,20260827,200036,0.6530265361364835
V0,A,20260827,200037,1.0
V0,A,20260827,200038,0.5253886622960348
V0,A,20260827,200039,0.9804277995746861
V0,A,20260827,200040,1.0
V0,A,20260827,200041,0.5759722062487291
V0,A,20260827,200042,0.9973046586552772
V0,A,20260827,200043,0.9836621419226237
V0,A,20260827,200044,1.0
V0,A,20260827,200045,0.6704575844609416
V0,A,20260827,200046,0.9742401749987777
V0,A,20260827,200047,1.0
V0,A,20260827,200048,1.0
V0,A,20260827,200049,0.5037491876707173
V0,A,20260827,200050,1.0
V0,A,20260827,200051,1.0
V0,A,20260827,200052,1.0
V0,A,20260827,200053,0.6312748566308805
V0,A,20260827,200054,0.7038887256846161
V0,A,20260827,200055,0.9673607063543942
V0,A,20260827,200056,0.7132515171419161
V0,A,20260827,200057,1.0
V0,A,20260827,200058,0.9896924254443052
V0,A,20260827,200059,0.9979197921931757
V0,A,20260827,200060,0.9700904633141386
V0,A,20260827,200061,0.5723486812742373
V0,A,20260827,200062,1.0
V0,A,20260827,200063,0.0
V0,A,20260827,200064,1.0
V0,A,20260827,200065,1.0
V0,A,20260827,200066,1.0
V0,A,20260827,200067,0.44884911924920795
V0,A,20260827,200068,1.0
V0,A,20260827,200069,0.5546754953133923
V0,A,20260827,200070,0.9944375689561604
V0,A,20260827,200071,1.0
V0,A,20260827,200072,1.0
V0,A,20260827,200073,1.0
V0,A,20260827,200074,0.1810717205242553
V0,A,20260827,200075,0.5194966123344994
V0,A,20260827,200076,0.9956933582386286
V0,A,20260827,200077,1.0
V0,A,20260827,200078,0.9698582826378104
V0,A,20260827,200079,1.0
V0,A,20260827,200080,0.48773818881331876
V0,A,20260827,200081,0.980878885675531
V0,A,20260827,200082,0.9851529837412056
V0,A,20260827,200083,1.0
V0,A,20260827,200084,1.0
V0,A,20260827,200085,1.0
V0,A,20260827,200086,0.5498367756087981
V0,A,20260827,200087,1.0
