comparacion,diferencia_medias,error_estandar,ic95_inf,ic95_sup,pares_no_nulos,metodo_wilcoxon,W,p,p_holm
V0-V1,0.160838,0.048334,0.066104,0.255572,42,aproximado,203.0,0.001889,0.009445
V0-V2,0.180706,0.052179,0.078435,0.282977,45,aproximado,221.0,0.000818,0.006544
V0-V3,0.249211,0.060772,0.130098,0.368324,45,aproximado,185.0,0.000175,0.001575
V0-V4,0.393142,0.064184,0.267342,0.518942,45,aproximado,95.0,2e-06,2e-05
V1-V2,0.019868,0.057625,-0.093076,0.132812,43,aproximado,454.0,0.818539,0.818539
V1-V3,0.088373,0.07036,-0.049532,0.226279,43,aproximado,384.0,0.282505,0.654282
V1-V4,0.232304,0.060634,0.113462,0.351146,38,aproximado,142.0,0.00092,0.006544
V2-V3,0.068505,0.065319,-0.059521,0.196531,42,aproximado,353.0,0.218094,0.654282
V2-V4,0.212436,0.059254,0.096298,0.328573,37,aproximado,136.0,0.00115,0.0069
V3-V4,0.143931,0.063847,0.018791,0.269071,39,aproximado,242.5,0.039553,0.158212
