comparacion,diferencia_medias,error_estandar,ic95_inf,ic95_sup,pares_no_nulos,W,p,p_holm
V0-V1,0.196919,0.05399,0.091098,0.302739,40,148.0,0.000429,0.003003
V0-V2,0.216787,0.058784,0.101571,0.332003,40,121.0,0.000102,0.000918
V0-V3,0.242099,0.061053,0.122435,0.361763,43,175.0,0.00032,0.00256
V0-V4,0.329367,0.062017,0.207813,0.450921,46,115.0,3e-06,3e-05
V1-V2,0.019868,0.057625,-0.093076,0.132812,43,454.0,0.818539,1.0
V1-V3,0.04518,0.068422,-0.088926,0.179287,42,393.0,0.464496,1.0
V1-V4,0.132449,0.058593,0.017607,0.24729,44,269.0,0.008353,0.050118
V2-V3,0.025312,0.064626,-0.101354,0.151979,42,403.0,0.544231,1.0
V2-V4,0.11258,0.074598,-0.033632,0.258793,43,338.0,0.103076,0.51538
V3-V4,0.087268,0.058267,-0.026935,0.201471,44,368.0,0.13831,0.55324
